exp,step,level,metric,n_succ,n_fail,mean_all,mean_succ,mean_fail,gap,gap_ci_lo,gap_ci_hi,auc,gmm_acc,gmm_base_rate,n_ep_succ,n_ep_fail
official_4to5,15,episode,action_obs_cosine,282,1766,0.33321903129035696,0.3801440816621135,0.32572590320154865,0.05441817846056485,0.031743390377089405,0.07672160957753175,0.5640165297221753,0.59619140625,0.8623046875,282,1766
official_4to5,15,transition,ce,6754,88300,1.4174411707266534,1.4314448061316059,1.4163700432801636,0.01507476285144227,0.010281563055474997,0.01964415577997406,0.5204133870084453,0.9289456519452101,0.9289456519452101,282,1766
official_4to5,15,transition,perplexity,6754,88300,4.1934465209130245,4.260984919627896,4.1882805600419,0.07270435958599641,0.05169934718253004,0.09284214758232523,0.5204133870084453,0.7445452058829718,0.9289456519452101,282,1766
official_4to5,15,transition,target_confidence_mean,6754,88300,0.6927518219424796,0.6887053178371252,0.6930613359711043,-0.004356018133979123,-0.00535023765090086,-0.0033100376834726427,0.46613740743709275,0.8937972100069435,0.9289456519452101,282,1766
official_4to5,15,transition,action_obs_cosine,6754,88300,0.3293235023106979,0.37635755640277263,0.3257259032015487,0.050631653201223925,0.04351175378437704,0.0578534169936652,0.544974273875202,0.6580259641887769,0.9289456519452101,282,1766
official_4to5,30,episode,ce,222,1058,1.3609556911461607,1.387395265993315,1.3554078786546029,0.0319873873387122,0.018289463016857653,0.04615633772840577,0.578671298898142,0.78046875,0.8265625,222,1058
official_4to5,30,episode,perplexity,222,1058,3.947266564121114,4.058027701559237,3.924025569308956,0.13400213225028157,0.079406110521084,0.19063682753480204,0.5868415674653861,0.7765625,0.8265625,222,1058
official_4to5,30,episode,target_confidence_mean,222,1058,0.689078021535936,0.68268346305531,0.6904197908957649,-0.00773632784045486,-0.011598490435292933,-0.004005256894955941,0.4214819734668506,0.7,0.8265625,222,1058
official_4to5,30,episode,action_obs_cosine,222,1058,0.3139765184576961,0.3421790394941196,0.308058787200526,0.03412025229359361,0.007097756715166892,0.061374941334762796,0.5316933190279127,0.59296875,0.8265625,222,1058
official_4to5,30,transition,ce,5261,52900,1.3571508047708576,1.3746761405530044,1.355407878654603,0.01926826189840125,0.014953705536148087,0.023980264874254437,0.528263318300768,0.9095441962827324,0.9095441962827324,222,1058
official_4to5,30,transition,perplexity,5261,52900,3.9313121748756115,4.004579887188116,3.9240255693089563,0.08055431787916012,0.06240441391173621,0.10017938573560367,0.528263318300768,0.6407214456422688,0.9095441962827324,222,1058
official_4to5,30,transition,target_confidence_mean,5261,52900,0.6899675832262713,0.6854205796687328,0.6904197908957649,-0.004999211227032063,-0.006197876075064357,-0.0039006645921964736,0.46460664288237197,0.8518938807792164,0.9095441962827324,222,1058
official_4to5,30,transition,action_obs_cosine,5261,52900,0.3104680219154969,0.3346931723473465,0.308058787200526,0.02663438514682054,0.017819039199268992,0.035276097068407695,0.5222108722421184,0.656573992881828,0.9095441962827324,222,1058
official_4to5,45,episode,ce,261,891,1.3634012712427692,1.3867765721298886,1.3565539608818957,0.03022261124799286,0.015841219929269228,0.04364182822248507,0.591238051008166,0.734375,0.7734375,261,891
official_4to5,45,episode,perplexity,261,891,3.9575459194312015,4.056704313048399,3.9284995213009117,0.1282047917474869,0.07266079902086588,0.1798461299027496,0.5963982094250294,0.7274305555555556,0.7734375,261,891
official_4to5,45,episode,target_confidence_mean,261,891,0.68828597606099,0.6823162780977889,0.6900346754643518,-0.007718397366562879,-0.011200823024182353,-0.004063268996140643,0.4125116641080881,0.6354166666666666,0.7734375,261,891
official_4to5,45,episode,action_obs_cosine,261,891,0.3077132806135313,0.3023471183542365,0.3092851867298904,-0.006938068375653916,-0.036508245304537126,0.020522778104475472,0.47843268788351806,0.59375,0.7734375,261,891
official_4to5,45,transition,ce,5949,44550,1.3590919962401762,1.3780984637492357,1.356553960881896,0.021544502867339776,0.017399558200763526,0.025863190918609034,0.535279728043778,0.8223727202518861,0.8821956870433078,261,891
